172.20.112.25,[02/Feb/2000:10:22:02-0500],GET /airmedia/images/welcome.gif?GXHC_gx_session_id_airmedia=c7bf39189d98ea9fHTTP/1.0,200,3081
172.20.112.25,[02/Feb/2000:10:22:02-0500],GET /airmedia/images/edit_off.gif?GXHC_gx_session_id_airmedia=c7bf39189d98ea9fHTTP/1.0,200,268
172.20.112.25,[02/Feb/2000:10:22:02-0500],GET /airmedia/images/pubcontent.gif?GXHC_gx_session_id_airmedia=c7bf39189d98ea9fHTTP/1.0,200,1388
172.20.112.25,[02/Feb/2000:10:23:02-0500],GET /airmedia/gateway/1.htmlHTTP/1.0,304,252
172.20.112.25,[02/Feb/2000:10:23:02-0500],GET /airmedia/gateway/images/66.gifHTTP/1.0,304,428
172.20.112.25,[02/Feb/2000:10:22:01-0500],GET /airmedia/images/topic1_on.gifHTTP/1.0,200,654
172.20.112.25,[02/Feb/2000:10:22:02-0500],GET /airmedia/images/create_on.gifHTTP/1.0,200,365
12.3.207.3,[02/Feb/2000:10:22:02-0500],GET /airmedia/gateway/index.htmlHTTP/1.0,200,660
12.3.207.3,[02/Feb/2000:10:22:02-0500],GET /airmedia/images/login.gif?HTTP/1.0,200,660
12.3.207.3,[02/Feb/2000:11:22:02-0500],GET /airmedia/images/welcome.gif?GXHC_gx_session_id_airmedia=c7bf39189d98ea9gHTTP/1.0,200,660
12.3.207.3,[02/Feb/2000:11:22:02-0500],GET /airmedia/images/create_off.gif?GXHC_gx_session_id_airmedia=c7bf39189d98ea9gHTTP/1.0,200,341
12.3.207.3,[02/Feb/2000:11:22:02-0500],GET /airmedia/images/w_mych.gif?GXHC_gx_session_id_airmedia=c7bf39189d98ea9gHTTP/1.0,200,783
12.3.207.3,[02/Feb/2000:11:22:02-0500],GET /airmedia/gateway/1.htmlHTTP/1.0,200,26814
12.3.207.3,[02/Feb/2000:12:02:13-0500],POST/cgi-bin/gx.cgi/AppLogic+airmedia.gateway.GatewayHTTP/1.0,200,
12.3.207.3,[02/Feb/2000:12:02:23-0500],GET/airmedia/gateway/images/2.gifHTTP/1.0,304,150
172.20.112.25,[02/Feb/2000:13:10:07-0500],GET/cgi-bin/gx.cgi/AppLogic+airmedia.logout.ShowAsso,200,
